#{"t_start": 1713661405.640897, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,473.35747,0.0
-50.0,50,475.646142,0.0
-50.0,50,477.895774,0.0
-50.0,50,480.24003,0.0
-50.0,50,482.813592,0.0
-50.0,50,485.55248,0.0
-50.0,50,488.631764,0.0
-50.0,50,491.17884,0.0
-50.0,50,493.656657,0.0
-50.0,50,495.909861,0.0
-50.0,50,498.324027,0.0
-50.0,50,500.729011,0.0
-50.0,50,503.129637,0.0
-50.0,50,505.513119,0.0
-50.0,50,507.821911,0.0
-50.0,50,510.480604,0.0
-50.0,50,512.952601,0.0
-50.0,50,515.279128,0.0
-50.0,50,517.755461,0.0
-50.0,50,520.232091,0.0
-50.0,50,522.819238,0.0
-50.0,50,525.294442,0.0
-50.0,50,527.898249,0.0
-50.0,50,530.316002,0.0
-50.0,50,532.647539,0.0
-50.0,50,535.183487,0.0
-50.0,50,537.978135,0.0
-50.0,50,540.377738,0.0
-50.0,50,542.753115,0.0
-50.0,50,545.244693,0.0
-50.0,50,547.513887,0.0
-50.0,50,550.210027,0.0
-50.0,50,552.718298,0.0
-50.0,50,554.895405,0.0
-50.0,50,557.195651,0.0
-50.0,50,559.496595,0.0
-50.0,50,561.8386,0.0
-50.0,50,564.245114,0.0
-50.0,50,566.752182,0.0
-50.0,50,569.24664,0.0
-50.0,50,571.86696,0.0
-50.0,50,574.3367,0.0
-50.0,50,576.74697,0.0
-50.0,50,579.077429,0.0
-50.0,50,581.487503,0.0
-50.0,50,584.603199,0.0
-50.0,50,587.484618,0.0
-50.0,50,589.833274,0.0
-50.0,50,592.17983,0.0
-50.0,50,594.556112,0.0
-50.0,50,597.570644,0.0
-50.0,50,600.560852,0.0
-50.0,50,603.176384,0.0
-50.0,50,605.507898,0.0
-50.0,50,607.9347,0.0
-49.0,50,610.589629,0.0
-50.0,50,613.356526,0.0
-50.0,50,616.316593,0.0
-50.0,50,619.183365,0.0
-50.0,50,621.622215,0.0
-50.0,50,623.924278,0.0
-50.0,50,626.08672,0.0
-50.0,50,628.531648,0.0
-50.0,50,631.347484,0.0
-50.0,50,633.934975,0.0
-50.0,50,636.567408,0.0
-50.0,50,639.223763,0.0
-50.0,50,641.794497,0.0
-50.0,50,644.171606,0.0
-50.0,50,646.44949,0.0
-50.0,50,648.849551,0.0
-50.0,50,651.656764,0.0
-50.0,50,654.272224,0.0
-50.0,50,656.593787,0.0
-50.0,50,658.979748,0.0
-50.0,50,661.367781,0.0
-50.0,50,663.751301,0.0
-50.0,50,666.13701,0.0
-50.0,50,668.883687,0.0
-50.0,50,671.163718,0.0
-50.0,50,673.591031,0.0
-50.0,50,675.929475,0.0
-50.0,50,678.335795,0.0
-50.0,50,680.836198,0.0
-50.0,50,683.31204,0.0
-50.0,50,685.773081,0.0
-50.0,50,688.211511,0.0
-50.0,50,690.819033,0.0
-50.0,50,693.76045,0.0
-50.0,50,696.763454,0.0
-50.0,50,699.259179,0.0
-50.0,50,701.768571,0.0
-50.0,50,704.515951,0.0
-50.0,50,707.310376,0.0
-50.0,50,709.761846,0.0
